,importance
lag_0h,0.6092253305259325
hour_sin,0.06598626294612289
hour_cos,0.03549244267701977
roll_mean_168h,0.02146811199189893
lag_1h,0.02089981203872928
lag_168h,0.019975380100896205
hour,0.017881547330201877
roll_std_168h,0.017450829757007742
roll_mean_24h,0.017399476214400484
lag_24h,0.01718069305429853
lag_2h,0.016794087766176614
lag_48h,0.01596712698850357
lag_3h,0.015774822852882134
lag_25h,0.015135145472297827
roll_max_24h,0.014208677471364839
roll_std_24h,0.013397726877600359
roll_min_24h,0.013215268534002952
roll_min_168h,0.012716232118438737
roll_max_168h,0.011659218679327697
dow_sin,0.008902205519926867
month,0.007671683931194957
dayofweek,0.00742257445347517
dow_cos,0.0021615215913513884
is_weekend,0.002013821106948779
