,importance
lag_0h,0.30918804
hour_sin,0.08765292
hour_cos,0.07631875
hour,0.0449318
lag_1h,0.043935936
roll_mean_168h,0.032844376
is_weekend,0.03057461
dayofweek,0.030256812
dow_sin,0.029982578
roll_max_24h,0.029864023
roll_std_168h,0.029393872
lag_168h,0.029196166
roll_mean_24h,0.025541391
roll_std_24h,0.022119151
lag_24h,0.02067086
roll_min_168h,0.020596044
roll_min_24h,0.018660046
roll_max_168h,0.018238382
lag_2h,0.01805914
lag_3h,0.01752753
lag_25h,0.017044976
lag_48h,0.016900469
month,0.016567208
dow_cos,0.013934926
